id,kind,glyph,unicode,name,svg_file,status,source_or_suggest,nerdfont,code_refs,i18n_refs,test_refs,files,defined_at,note
I264,emoji,📜,U+1F4DC,log,svg/log.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I265,emoji,📸,U+1F4F8,camera,svg/camera.svg,has_svg,Boxicons,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I266,emoji,🔢,U+1F522,sort-number,svg/sort-number.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I267,symbol,⤵,U+2935,arrow-turn-down,svg/arrow-turn-down.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I268,emoji,🖨,U+1F5A8,printer,svg/printer.svg,need_svg,bx:printer,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I269,emoji,🎞,U+1F39E,film,svg/film.svg,has_svg,Boxicons,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I270,emoji,📑,U+1F4D1,page-header,svg/page-header.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I271,emoji,🖱,U+1F5B1,mouse,svg/mouse.svg,need_svg,bx:mouse,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I272,symbol,⏸,U+23F8,pause,svg/pause.svg,need_svg,bx:pause,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I273,symbol,▢,U+25A2,shape-rounded,svg/shape-rounded.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I274,symbol,◇,U+25C7,shape-diamond,svg/shape-diamond.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I275,symbol,⛁,U+26C1,shape-cylinder,svg/shape-cylinder.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I276,symbol,⬭,U+2B2D,shape-ellipse,svg/shape-ellipse.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I277,symbol,▭,U+25AD,shape-rect,svg/shape-rect.svg,need_svg,bx:rectangle,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I278,symbol,△,U+25B3,shape-triangle,svg/shape-triangle.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I279,symbol,⇹,U+21F9,align-center-h,svg/align-center-h.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I280,symbol,⇳,U+21F3,align-center-v,svg/align-center-v.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I281,symbol,◆,U+25C6,shape-diamond,svg/shape-diamond.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I282,symbol,⇿,U+21FF,distribute-h,svg/distribute-h.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I283,symbol,↕,U+2195,distribute-v,svg/distribute-v.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I284,symbol,⬚,U+2B1A,selection,svg/selection.svg,need_svg,bx:selection,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I285,symbol,⤒,U+2912,align-top,svg/align-top.svg,need_svg,bx:vertical-top,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I286,emoji,🐉,U+1F409,fantasy,svg/fantasy.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,ไม่มีใน Boxicons
I287,emoji,😄,U+1F604,,,keep_text,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,อีโมจิอารมณ์ — ความหมายอยู่ที่สีหน้า แนะนำคงไว้
I288,emoji,😖,U+1F616,,,keep_text,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,อีโมจิอารมณ์ — ความหมายอยู่ที่สีหน้า แนะนำคงไว้
I289,emoji,😴,U+1F634,,,keep_text,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,อีโมจิอารมณ์ — ความหมายอยู่ที่สีหน้า แนะนำคงไว้
I290,emoji,👃,U+1F443,sense-smell,svg/sense-smell.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,ไม่มีใน Boxicons
I291,emoji,👅,U+1F445,sense-taste,svg/sense-taste.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,ไม่มีใน Boxicons
I292,emoji,👂,U+1F442,sense-hearing,svg/sense-hearing.svg,need_svg,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,ไม่มีใน Boxicons
I293,emoji,🖐,U+1F590,sense-touch,svg/sense-touch.svg,need_svg,bx:hand,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I294,symbol,☁,U+2601,cloud,svg/cloud.svg,need_svg,bx:cloud,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,บางจุดมี U+FE0F ต่อท้าย
I295,symbol,⛶,U+26F6,fullscreen,svg/fullscreen.svg,has_svg,Boxicons,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
