name,glyph,note
send,➤,ยังไม่มี icons/svg/send.svg — ใช้ตัวนี้แทนไปก่อน
sense-hearing,👂,ยังไม่มี icons/svg/sense-hearing.svg — ใช้ตัวนี้แทนไปก่อน
sense-smell,👃,ยังไม่มี icons/svg/sense-smell.svg — ใช้ตัวนี้แทนไปก่อน
sense-taste,👅,ยังไม่มี icons/svg/sense-taste.svg — ใช้ตัวนี้แทนไปก่อน
sense-touch,🖐,ยังไม่มี icons/svg/sense-touch.svg — ใช้ตัวนี้แทนไปก่อน
shape-cylinder,⛁,ยังไม่มี icons/svg/shape-cylinder.svg — ใช้ตัวนี้แทนไปก่อน
shape-diamond,◇,ยังไม่มี icons/svg/shape-diamond.svg — ใช้ตัวนี้แทนไปก่อน
shape-ellipse,⬭,ยังไม่มี icons/svg/shape-ellipse.svg — ใช้ตัวนี้แทนไปก่อน
shape-rect,▭,ยังไม่มี icons/svg/shape-rect.svg — ใช้ตัวนี้แทนไปก่อน
shape-rounded,▢,ยังไม่มี icons/svg/shape-rounded.svg — ใช้ตัวนี้แทนไปก่อน
shape-triangle,△,ยังไม่มี icons/svg/shape-triangle.svg — ใช้ตัวนี้แทนไปก่อน
skip-next,⏭,ยังไม่มี icons/svg/skip-next.svg — ใช้ตัวนี้แทนไปก่อน
skip-previous,⏮,ยังไม่มี icons/svg/skip-previous.svg — ใช้ตัวนี้แทนไปก่อน
smile,🙂,ยังไม่มี icons/svg/smile.svg — ใช้ตัวนี้แทนไปก่อน
sort-number,🔢,ยังไม่มี icons/svg/sort-number.svg — ใช้ตัวนี้แทนไปก่อน
square,⬛,ยังไม่มี icons/svg/square.svg — ใช้ตัวนี้แทนไปก่อน
square-outline,⬜,ยังไม่มี icons/svg/square-outline.svg — ใช้ตัวนี้แทนไปก่อน
star-outline,☆,ยังไม่มี icons/svg/star-outline.svg — ใช้ตัวนี้แทนไปก่อน
stop,⏹,ยังไม่มี icons/svg/stop.svg — ใช้ตัวนี้แทนไปก่อน
subdirectory-right,⤷,ยังไม่มี icons/svg/subdirectory-right.svg — ใช้ตัวนี้แทนไปก่อน
swap,↔,ยังไม่มี icons/svg/swap.svg — ใช้ตัวนี้แทนไปก่อน
tag,🏷,ยังไม่มี icons/svg/tag.svg — ใช้ตัวนี้แทนไปก่อน
target,🎯,ยังไม่มี icons/svg/target.svg — ใช้ตัวนี้แทนไปก่อน
text-case,🔠,ยังไม่มี icons/svg/text-case.svg — ใช้ตัวนี้แทนไปก่อน
text-tool,🅃,ยังไม่มี icons/svg/text-tool.svg — ใช้ตัวนี้แทนไปก่อน
thought,💭,ยังไม่มี icons/svg/thought.svg — ใช้ตัวนี้แทนไปก่อน
time,🕒,ยังไม่มี icons/svg/time.svg — ใช้ตัวนี้แทนไปก่อน
timer,⏱,ยังไม่มี icons/svg/timer.svg — ใช้ตัวนี้แทนไปก่อน
torii,⛩,ยังไม่มี icons/svg/torii.svg — ใช้ตัวนี้แทนไปก่อน
tree,🌳,ยังไม่มี icons/svg/tree.svg — ใช้ตัวนี้แทนไปก่อน
undo,↶,ยังไม่มี icons/svg/undo.svg — ใช้ตัวนี้แทนไปก่อน
volume,🔊,ยังไม่มี icons/svg/volume.svg — ใช้ตัวนี้แทนไปก่อน
water,💧,ยังไม่มี icons/svg/water.svg — ใช้ตัวนี้แทนไปก่อน
window,🪟,ยังไม่มี icons/svg/window.svg — ใช้ตัวนี้แทนไปก่อน
window-max,▣,ยังไม่มี icons/svg/window-max.svg — ใช้ตัวนี้แทนไปก่อน
window-restore,◻,ยังไม่มี icons/svg/window-restore.svg — ใช้ตัวนี้แทนไปก่อน
wrench,🛠,ยังไม่มี icons/svg/wrench.svg — ใช้ตัวนี้แทนไปก่อน
zap,⚡,ยังไม่มี icons/svg/zap.svg — ใช้ตัวนี้แทนไปก่อน
